Name,Host_Id,Host_Identity_Verified,Host_Name,Neighbourhood_Group,Neighbourhood,Latitude,Longitude,Country,Country_Code,Instant_Bookable,Cancellation_Policy,Room_Type,Construction_Year,Price,Service_Fee,Minimum_Nights,Number_Of_Reviews
"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",51449163855,VERIFIED,Daryl,Manhattan,Inwood,40.86482,-73.92106,United States,unknown,False,strict,Private room,2021,432,86.0,3.0,108.0
Modern 1 BR / NYC / EAST VILLAGE,86424057349,UNCONFIRMED,Tyler,Manhattan,East Village,40.7292,-73.98542,United States,unknown,False,flexible,Entire home/apt,2010,666,133.0,14.0,29.0
front room/double bed,69410526955,UNCONFIRMED,Byron,Manhattan,Harlem,40.82245,-73.95104,United States,unknown,False,flexible,Private room,2004,770,154.0,3.0,242.0
Spacious 1 bedroom in luxe building,80369762211,VERIFIED,Mary,Manhattan,Harlem,40.81305,-73.95466,United States,unknown,False,flexible,Private room,2007,512,102.0,2.0,88.0
Loft in Williamsburg Area w/ Roof,50968902783,UNCONFIRMED,John,Brooklyn,Greenpoint,40.72219,-73.93762,United States,unknown,False,moderate,Private room,2007,858,172.0,4.0,197.0
back room/bunk beds,25066620900,VERIFIED,Alfred,Manhattan,Harlem,40.8213,-73.95318,United States,unknown,False,strict,Private room,2021,545,109.0,3.0,273.0
Large B&B Style rooms,57938703679,UNCONFIRMED,Jared,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,United States,US,True,strict,Private room,2016,191,38.0,1.0,74.0
"Lovely room 2 & garden; Best area, Legal rental",53343148512,VERIFIED,Brad,Brooklyn,South Slope,40.66869,-73.9878,United States,US,True,moderate,Private room,2003,1111,222.0,4.0,168.0
Clean and Quiet in Brooklyn,26207748876,VERIFIED,Arthur,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,United States,US,False,moderate,Private room,2004,203,41.0,60.0,0.0
Cute apt in artist's home,88653822946,VERIFIED,Joyce,Brooklyn,Bushwick,40.70186,-73.92745,United States,US,True,moderate,Entire home/apt,2005,1097,219.0,2.0,231.0
Country space in the city,49725315867,VERIFIED,Deanna,Brooklyn,Flatbush,40.63702,-73.96327,United States,US,True,strict,Private room,2011,1020,204.0,1.0,0.0
LowerEastSide apt share shortterm 1,31736204344,UNCONFIRMED,Clark,Manhattan,Lower East Side,40.71401,-73.98917,United States,US,True,moderate,Shared room,2012,1010,202.0,1.0,214.0
ENJOY Downtown NYC!,63131487263,UNCONFIRMED,Byron,Manhattan,East Village,40.7229,-73.98199,United States,US,False,strict,Private room,2005,563,113.0,2.0,245.0
Beautiful Sunny Park Slope Brooklyn,50357575975,VERIFIED,Alina,Brooklyn,South Slope,40.66278,-73.97966,United States,US,True,flexible,Entire home/apt,2020,370,74.0,3.0,15.0
1bdr w private bath. in lofty apt,45597582469,UNCONFIRMED,Charlie,Brooklyn,Fort Greene,40.69673,-73.97584,United States,US,False,strict,Private room,2008,687,137.0,7.0,25.0
West Side Retreat,55430108992,UNCONFIRMED,Alford,Manhattan,Upper West Side,40.79009,-73.97927,United States,US,False,strict,Private room,2017,856,171.0,4.0,81.0
BEST BET IN HARLEM,2107606817,UNCONFIRMED,Chester,Manhattan,Harlem,40.81175,-73.94478,United States,US,True,flexible,Entire home/apt,2006,62,12.0,7.0,97.0
Entire apartment in central Brooklyn neighborhood.,41615406010,UNCONFIRMED,David,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,United States,US,False,strict,Entire home/apt,2007,435,87.0,3.0,11.0
"1 Stop fr. Manhattan! Private Suite,Landmark Block",81253735818,UNCONFIRMED,Victoria,Queens,Long Island City,40.74771,-73.9474,United States,US,True,flexible,Private room,2022,916,183.0,3.0,248.0
Charming Brownstone 3 - Near PRATT,42134614458,VERIFIED,Jared,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,United States,US,True,moderate,Entire home/apt,2019,459,92.0,3.0,61.0
bright and stylish duplex,53466382920,VERIFIED,Chloe,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,United States,US,False,moderate,Entire home/apt,2015,363,73.0,3.0,11.0
Fort Greene brownstone,49393946881,UNCONFIRMED,Abraham,Brooklyn,Fort Greene,40.69142,-73.97376,United States,US,True,strict,Private room,2009,212,42.0,3.0,135.0
Blue Room for 2 in Brownstone for $1350 monthly,1529890895,UNCONFIRMED,Sophia,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,United States,US,False,moderate,Private room,2015,728,146.0,3.0,112.0
Cozy 1BD on Central Park West in New York City,50562514538,UNCONFIRMED,Madaline,Manhattan,Upper West Side,40.78635,-73.97008,United States,US,True,strict,Entire home/apt,2013,901,180.0,3.0,73.0
* ORIGINAL BROOKLYN LOFT *,49585766302,VERIFIED,Sawyer,Brooklyn,Williamsburg,40.7042,-73.9356,United States,US,False,flexible,Entire home/apt,2007,335,67.0,3.0,82.0
Greenpoint Place...Has It All!,52857769781,UNCONFIRMED,Madaline,Brooklyn,Greenpoint,40.73506,-73.95392,United States,US,True,moderate,Entire home/apt,2014,254,51.0,3.0,328.0
Beautiful Apartment in Manhattan!!!,39829029279,VERIFIED,Richard,Manhattan,Kips Bay,40.73961,-73.98074,United States,US,True,moderate,Entire home/apt,2017,903,181.0,3.0,19.0
Williamsburg 1 bedroom Apartment,84933495312,UNCONFIRMED,Paul,Brooklyn,Williamsburg,40.70881,-73.9593,United States,US,False,moderate,Entire home/apt,2012,439,88.0,30.0,105.0
Unknown,18424415847,UNCONFIRMED,Carina,Manhattan,Lower East Side,40.72004,-73.99104,United States,US,True,flexible,Private room,2009,1024,205.0,5.0,19.0
Unknown,48877238684,UNCONFIRMED,Sophia,Manhattan,Hell's Kitchen,40.75531,-73.99293,United States,US,True,strict,Private room,2006,658,132.0,2.0,289.0
Unknown,71987706184,VERIFIED,Rosie,Brooklyn,Greenpoint,40.72401,-73.93788,United States,US,False,flexible,Private room,2020,543,109.0,4.0,138.0
Unknown,85649449746,VERIFIED,Frederick,Manhattan,SoHo,40.7221,-73.99775,United States,US,True,strict,Entire home/apt,2019,256,51.0,30.0,21.0
Unknown,22028915442,UNCONFIRMED,Agata,Brooklyn,Williamsburg,40.71185,-73.96204,United States,US,False,moderate,Private room,2012,294,59.0,2.0,42.0
Unknown,51930287368,UNCONFIRMED,George,Manhattan,Chelsea,40.74623,-73.9953,United States,US,True,moderate,Entire home/apt,2004,779,156.0,180.0,5.0
Unknown,85658272266,UNCONFIRMED,Kelsey,Manhattan,Upper East Side,40.77065,-73.95269,United States,US,False,strict,Entire home/apt,2020,653,131.0,2.0,66.0
Unknown,91715353208,UNCONFIRMED,Sabrina,Brooklyn,Prospect Heights,40.67811,-73.96428,United States,US,True,flexible,Entire home/apt,2012,303,61.0,30.0,143.0
Double Room w Private Deck Clinton Hill Best Area,71078326464,UNCONFIRMED,William,Brooklyn,Clinton Hill,40.69,-73.96788,United States,US,False,flexible,Private room,2010,825,165.0,7.0,27.0
Your Heaven in Hells Kitchen,20543275700,VERIFIED,Melissa,Manhattan,Hell's Kitchen,40.75979,-73.99119,United States,US,False,strict,Private room,2013,646,129.0,30.0,191.0
Light-filled 2B duplex in the heart of Park Slope!,42969787263,VERIFIED,Ellia,Brooklyn,Park Slope,40.67343,-73.98338,United States,US,False,flexible,Entire home/apt,2006,1037,207.0,3.0,4.0
"Sunny, Modern room in East Village!",79667908130,UNCONFIRMED,Walter,Manhattan,East Village,40.72649,-73.97904,United States,US,False,strict,Private room,2015,87,17.0,1.0,338.0
*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,19095545297,UNCONFIRMED,Sawyer,Brooklyn,Williamsburg,40.70933,-73.96792,United States,US,True,moderate,Entire home/apt,2007,316,63.0,1.0,148.0
Large Room in Amazing East Village Apt,58710475260,UNCONFIRMED,Valeria,Manhattan,East Village,40.72298,-73.98474,United States,US,True,flexible,Private room,2017,735,147.0,1.0,106.0
SpaHa Loft: Enormous and Bright,27952493551,UNCONFIRMED,Adelaide,Manhattan,East Harlem,40.80164,-73.93922,United States,US,False,flexible,Entire home/apt,2017,524,105.0,4.0,190.0
Lovely EV Artist's Home,90314634438,UNCONFIRMED,Reid,Manhattan,East Village,40.72162,-73.98008,United States,US,False,moderate,Entire home/apt,2019,238,48.0,9.0,49.0
Cool Room in Hell's Kitchen,44843744875,VERIFIED,Charlie,Manhattan,Hell's Kitchen,40.76342,-73.98865,United States,US,False,moderate,Private room,2017,603,121.0,7.0,23.0
"HARLEM, NEW YORK WELCOMES YOU!!",98195975718,UNCONFIRMED,Violet,Unknown,Washington Heights,40.83139,-73.94095,United States,US,True,moderate,Private room,2011,571,114.0,2.0,49.0
BLUE TRIM GUEST HOUSE,4726877402,UNCONFIRMED,Audrey,Unknown,Clinton Hill,40.68346,-73.96374,United States,US,True,strict,Private room,2014,398,80.0,2.0,105.0
Charming East Village One Bedroom Flat,74322993447,VERIFIED,Violet,Unknown,East Village,40.72828,-73.98801,United States,US,False,strict,Entire home/apt,2018,618,124.0,5.0,21.0
Manhattan Room,11468499446,VERIFIED,Sofia,Unknown,Upper East Side,40.76865,-73.95058,United States,US,False,strict,Private room,2007,116,23.0,1.0,142.0
Little King of Queens,68599531533,UNCONFIRMED,Melanie,Unknown,Woodside,40.75038,-73.90334,United States,US,True,flexible,Private room,2012,54,11.0,30.0,25.0
Fort Greene Retreat on the Park,43811392937,UNCONFIRMED,Lenny,Brooklyn,Fort Greene,40.6932,-73.97267,United States,US,True,flexible,Private room,2013,744,149.0,3.0,143.0
Beautiful Meatpacking District Loft,6644226026,UNCONFIRMED,Eddy,Manhattan,Chelsea,40.74138,-74.00197,United States,US,True,strict,Private room,2011,1065,213.0,3.0,167.0
Unknown,73077753757,VERIFIED,Arthur,Brooklyn,Williamsburg,40.71154,-73.96112,United States,US,False,moderate,Private room,2017,1057,211.0,3.0,61.0
Spacious luminous apt Upper West NYC,97798221815,VERIFIED,Alisa,Manhattan,Harlem,40.82915,-73.95136,United States,US,True,flexible,Entire home/apt,2005,1056,211.0,31.0,54.0
Entire 2 Bedroom - Large & Sunny,54627928830,VERIFIED,Edgar,Manhattan,Lower East Side,40.71851,-73.98892,United States,US,False,moderate,Entire home/apt,2017,909,182.0,5.0,70.0
"Sunny, Spacious Top Floor Haven",88585125323,VERIFIED,Justin,Brooklyn,Flatbush,40.65401,-73.96323,United States,US,True,moderate,Entire home/apt,2017,586,117.0,6.0,16.0
Private room Great Deal at Lower East Side,15834881958,UNCONFIRMED,Violet,Manhattan,Lower East Side,40.7114,-73.98794,United States,US,True,strict,Private room,2013,575,115.0,30.0,94.0
perfect for a family or small group,34333762709,UNCONFIRMED,Sienna,Brooklyn,Brooklyn Heights,40.69723,-73.99268,United States,US,False,strict,Entire home/apt,2013,292,58.0,1.0,25.0
2 bedroom Williamsburg Apt - Bedford L stop,76203104999,VERIFIED,Lucy,Brooklyn,Williamsburg,40.71833,-73.95748,United States,US,True,strict,Entire home/apt,2007,194,39.0,3.0,61.0
Oh glorious spring!,7693754055,UNCONFIRMED,Ellia,Manhattan,East Village,40.72334,-73.9844,United States,US,False,flexible,Private room,2022,123,25.0,3.0,194.0
Great Location for NYC,65444463877,UNCONFIRMED,Emma,Manhattan,East Village,40.72912,-73.98057,United States,US,False,strict,Private room,2004,1079,216.0,1.0,2.0
Cozy Bedroom in Williamsburg 3 BR,14067827221,UNCONFIRMED,Lilianna,Unknown,Williamsburg,40.71156,-73.96218,United States,US,False,moderate,Private room,2015,266,53.0,3.0,174.0
Sunny room+Pvte office in huge loft,12884105458,UNCONFIRMED,Albert,Unknown,Bushwick,40.70032,-73.9383,United States,US,False,moderate,Private room,2012,728,146.0,4.0,24.0
Spacious Prospect Heights Apartment,63218812094,UNCONFIRMED,Sarah,Unknown,Prospect Heights,40.68233,-73.97261,United States,US,False,flexible,Entire home/apt,2021,583,117.0,4.0,166.0
"Large Parlor Room, Landmark Home 1 block to PRATT",89635238032,UNCONFIRMED,Rubie,Brooklyn,Clinton Hill,40.68634,-73.966,United States,US,True,moderate,Private room,2012,51,10.0,7.0,16.0
2-bed brownstone duplex + garden,40398018895,UNCONFIRMED,Alfred,Brooklyn,Prospect Heights,40.68035,-73.97162,United States,US,False,moderate,Entire home/apt,2018,588,118.0,7.0,21.0
Charming 1 bed GR8 WBurg LOCATION!,85349309260,UNCONFIRMED,Chester,Brooklyn,Williamsburg,40.70984,-73.95775,United States,US,False,moderate,Entire home/apt,2010,360,72.0,5.0,168.0
Unknown,43086080920,VERIFIED,Joyce,Brooklyn,Bushwick,40.70093,-73.92609,United States,US,True,strict,Entire home/apt,2011,380,76.0,3.0,118.0
Unknown,8644470108,VERIFIED,Sydney,Manhattan,Upper West Side,40.79764,-73.96177,United States,US,True,strict,Entire home/apt,2017,343,69.0,3.0,7.0
Unknown,2531706698,UNCONFIRMED,Victoria,Manhattan,Harlem,40.82803,-73.94731,United States,unknown,False,flexible,Private room,2021,160,32.0,3.0,1.0
Unknown,31493374340,VERIFIED,Unknown,Manhattan,Chelsea,40.74008,-74.00271,United States,unknown,False,moderate,Private room,2022,528,106.0,3.0,30.0
Unknown,47504416702,UNCONFIRMED,Unknown,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,United States,unknown,False,moderate,Entire home/apt,2009,739,148.0,3.0,139.0
loft bed - near transportation-15min to times sq,71312861184,UNCONFIRMED,Edgar,Manhattan,Harlem,40.82279,-73.95139,United States,unknown,False,flexible,Private room,2013,913,183.0,3.0,11.0
House On Henry (3rd FLR Suite),66356095263,UNCONFIRMED,Albert,Brooklyn,Carroll Gardens,40.67967,-74.00154,United States,unknown,False,flexible,Entire home/apt,2006,507,101.0,3.0,233.0
Monkey Retreat Manhattan,62028601494,VERIFIED,Kelsey,Manhattan,Washington Heights,40.83927,-73.94281,United States,unknown,False,strict,Private room,2007,306,61.0,3.0,68.0
2000 SF 3br 2bath West Village private  townhouse,90570445423,VERIFIED,Adelaide,Manhattan,West Village,40.73096,-74.00319,United States,unknown,False,strict,Entire home/apt,2012,1078,216.0,3.0,46.0
"Williamsburg—Steps To Subway, Private Bath&Balcony",14752755860,VERIFIED,April,Brooklyn,Williamsburg,40.71332,-73.94177,United States,unknown,False,moderate,Private room,2004,887,177.0,3.0,335.0
Beautiful Duplex Apartment,74182934364,VERIFIED,Lilianna,Brooklyn,Park Slope,40.66941,-73.98109,United States,unknown,False,moderate,Entire home/apt,2008,243,49.0,30.0,88.0
Large 2 Bedroom Great for Groups!,94662871331,UNCONFIRMED,Tess,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,United States,unknown,False,flexible,Entire home/apt,2016,500,100.0,90.0,162.0
"Modern Brooklyn Apt., August sublet",38981444696,UNCONFIRMED,Ned,Brooklyn,Williamsburg,40.71459,-73.94844,United States,US,False,strict,Entire home/apt,2017,589,118.0,30.0,29.0
"1,800 sq foot in luxury building",18044628997,UNCONFIRMED,Emma,Manhattan,Harlem,40.8092,-73.94421,United States,US,True,flexible,Private room,2005,839,168.0,2.0,170.0
Sunny 2-story Brooklyn townhouse w deck and garden,85201462079,VERIFIED,Alen,Brooklyn,Gowanus,40.68157,-73.98989,United States,US,False,strict,Entire home/apt,2011,528,106.0,30.0,19.0
"Times Square, Safe, Clean and Cozy!",61210263217,UNCONFIRMED,Kevin,Manhattan,Hell's Kitchen,40.75527,-73.99291,United States,US,True,strict,Private room,2014,66,13.0,2.0,334.0
"Cozy Room #3, Landmark Home 1 Block to PRATT",85719117699,UNCONFIRMED,Miller,Brooklyn,Clinton Hill,40.68698,-73.96572,United States,US,True,flexible,Private room,2014,761,152.0,2.0,19.0
Beautiful Apartment East Village,95420528585,VERIFIED,Penelope,Manhattan,East Village,40.7288,-73.98192,United States,US,True,flexible,Entire home/apt,2007,523,105.0,7.0,12.0
Park Slope Green Guest House,56820832918,UNCONFIRMED,Rosie,Brooklyn,South Slope,40.66853,-73.98912,United States,US,True,strict,Entire home/apt,2004,631,126.0,30.0,467.0
2 BR / 2 Bath Duplex Apt with patio! East Village,63842204720,UNCONFIRMED,Olivia,Manhattan,East Village,40.7254,-73.98157,United States,US,False,flexible,Entire home/apt,2008,677,135.0,2.0,7.0
NYC fabulous views Manhattan's eye,14374368872,UNCONFIRMED,Paige,Manhattan,Kips Bay,40.74294,-73.98009,United States,US,True,flexible,Entire home/apt,2008,574,115.0,5.0,38.0
2 story family home in Williamsburg,40328778117,UNCONFIRMED,Agata,Brooklyn,Williamsburg,40.71942,-73.95748,United States,US,True,flexible,Entire home/apt,2003,232,46.0,3.0,324.0
Unknown,87894881413,UNCONFIRMED,David,Manhattan,Upper West Side,40.77823,-73.97637,United States,US,False,strict,Entire home/apt,2012,1154,231.0,6.0,27.0
Great Large 1 BR apt  in East Village!,27506185339,UNCONFIRMED,Adelaide,Manhattan,East Village,40.72555,-73.97965,United States,US,False,strict,Entire home/apt,2012,737,147.0,1.0,115.0
Eveland Private Bed & Living Room w/ Own Entrance,25474679480,UNCONFIRMED,Fenton,Brooklyn,South Slope,40.66831,-73.98604,United States,US,True,moderate,Private room,2012,456,91.0,2.0,354.0
Sugar Hill Rest Stop,81078988196,UNCONFIRMED,Madaline,Manhattan,Harlem,40.82754,-73.94919,United States,US,True,moderate,Entire home/apt,2005,291,58.0,2.0,195.0
3 Story Town House in Park Slope,9853816495,UNCONFIRMED,Darcy,Brooklyn,South Slope,40.66499,-73.97925,United States,US,True,strict,Entire home/apt,2021,996,199.0,2.0,16.0
apartment next to Central park,65890112273,UNCONFIRMED,Aida,Manhattan,Upper West Side,40.77842,-73.97556,United States,US,True,flexible,Entire home/apt,2008,788,158.0,7.0,13.0
East Village Sanctuary,21125900343,UNCONFIRMED,Jasmine,Manhattan,East Village,40.72245,-73.98527,United States,US,True,flexible,Entire home/apt,2013,1105,221.0,4.0,25.0
Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,63113999922,VERIFIED,Robert,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,United States,US,True,moderate,Private room,2015,1109,222.0,2.0,9.0
Modern Apt with Spectacular Views,96956465387,VERIFIED,Lucas,Brooklyn,Williamsburg,40.71923,-73.96468,United States,US,True,strict,Private room,2004,659,132.0,1.0,9.0
Garden studio in the Upper East Sid,77172555024,UNCONFIRMED,Miller,Manhattan,Upper East Side,40.778,-73.94822,United States,US,False,strict,Entire home/apt,2007,571,114.0,5.0,21.0
Secluded Master Bedroom in Beautiful Huge Apt,44493053522,VERIFIED,Dexter,Manhattan,Washington Heights,40.85879,-73.93128,United States,US,True,flexible,Private room,2010,736,147.0,15.0,36.0
B & B Room 1,46312284523,VERIFIED,Darcy,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,United States,US,True,moderate,Private room,2013,946,189.0,3.0,63.0
ACCOMMODATIONS GALORE #1,90525781448,UNCONFIRMED,Daniel,Manhattan,Harlem,40.81618,-73.94894,United States,US,True,flexible,Entire home/apt,2005,449,90.0,3.0,155.0
Sunny Room in New Condo,35058485479,VERIFIED,Victoria,Brooklyn,Clinton Hill,40.68414,-73.96351,United States,US,False,moderate,Private room,2018,930,186.0,3.0,260.0
Stylish & Sleek Apartment Near SoHo!,24559680874,VERIFIED,Brooke,Manhattan,East Village,40.72392,-73.99143,United States,US,False,strict,Entire home/apt,2006,329,66.0,5.0,73.0
NYC artists’ loft with roof deck,48867545848,VERIFIED,Lilianna,Brooklyn,Greenpoint,40.73494,-73.9503,United States,US,False,flexible,Private room,2006,1125,225.0,3.0,193.0
Unique & Charming small 1br Apt. LES,77518406270,UNCONFIRMED,Unknown,Manhattan,Lower East Side,40.71341,-73.98856,United States,US,False,moderate,Entire home/apt,2013,1099,220.0,3.0,32.0
Most Central Location!,53246473793,UNCONFIRMED,Unknown,Manhattan,Hell's Kitchen,40.76754,-73.98399,United States,US,False,strict,Private room,2013,256,51.0,2.0,50.0
Unknown,80835835733,UNCONFIRMED,Unknown,Manhattan,West Village,40.73442,-74.00303,United States,US,False,strict,Entire home/apt,2013,263,53.0,29.0,26.0
Sanctuary in East Flatbush,41763838164,UNCONFIRMED,Anna,Brooklyn,Flatlands,40.63188,-73.93248,United States,US,True,moderate,Private room,2020,96,19.0,2.0,2.0
Room with En Suite Bathroom & Deck,80213101260,VERIFIED,Dominik,Brooklyn,Clinton Hill,40.6873,-73.9634,United States,US,True,strict,Private room,2021,1192,238.0,3.0,426.0
FLAT MACDONOUGH,12359551036,UNCONFIRMED,Frederick,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,United States,US,False,flexible,Entire home/apt,2010,593,119.0,3.0,227.0
Huge Private  Floor at The Waverly,6534696854,VERIFIED,Adrian,Brooklyn,Clinton Hill,40.6863,-73.96765,United States,US,True,flexible,Private room,2012,490,98.0,3.0,84.0
"Modern Greenpoint, Brooklyn Apt",63891709973,VERIFIED,Martin,Brooklyn,Greenpoint,40.73409,-73.95348,United States,US,False,moderate,Entire home/apt,2016,488,98.0,3.0,7.0
"Sun-drenched, artsy modernist 1 BDRM duplex",83716006050,UNCONFIRMED,Kellan,Brooklyn,Williamsburg,40.71561,-73.94835,United States,US,True,moderate,Entire home/apt,2004,658,132.0,3.0,10.0
"Sunny, Cobble Hill Apartment",82129516523,UNCONFIRMED,Hailey,Brooklyn,Cobble Hill,40.6857,-73.99183,United States,US,False,flexible,Entire home/apt,2017,1109,222.0,3.0,4.0
Fully Furnished Basement Apartment,57811865410,UNCONFIRMED,Dominik,Queens,Flushing,40.74028,-73.83168,United States,US,True,strict,Private room,2018,606,121.0,3.0,1.0
FLAT MACDONOUGH GARDEN,64718456383,UNCONFIRMED,Ryan,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,United States,US,False,moderate,Entire home/apt,2007,853,171.0,3.0,124.0
Light filled Williamsburg Apartment,28474746188,UNCONFIRMED,Heather,Brooklyn,Williamsburg,40.71596,-73.93938,United States,US,False,strict,Entire home/apt,2011,172,34.0,3.0,11.0
